timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18605.608000,1.111598,-1.626807,1.756247,-2.168497,-1.492226,0.161305,-0.110996,-0.487906,0.431931,0.897933,2.917327,-0.737402,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.111622,-1.626867,1.756127,-2.168438,-1.492263,0.161341,-0.110982,-0.487897,0.432014,0.897956,2.917316,-0.737584
18605.768000,1.111610,-1.626255,1.756701,-2.169626,-1.492238,0.161293,-0.111073,-0.488075,0.431568,0.897881,2.917323,-0.737589,0.000000,0.030552,0.021527,-0.052203,0.000000,0.000000,1.111644,-1.626059,1.756676,-2.169797,-1.492279,0.161367,-0.111092,-0.488144,0.431506,0.897956,2.917316,-0.737583
18605.928000,1.111849,-1.611458,1.766006,-2.193582,-1.492502,0.161760,-0.113133,-0.492512,0.422498,0.898120,2.917285,-0.737322,0.005919,0.146674,0.090671,-0.243016,0.043191,0.006591,1.112032,-1.611428,1.766111,-2.193889,-1.492578,0.161824,-0.113053,-0.492538,0.422467,0.897955,2.917317,-0.737574
18606.088000,1.112771,-1.576971,1.785068,-2.247360,-1.493208,0.162575,-0.117474,-0.502334,0.402220,0.897760,2.917423,-0.737572,0.008028,0.283518,0.139234,-0.424481,-0.049471,0.058531,1.112876,-1.576714,1.785049,-2.247598,-1.493244,0.162814,-0.117464,-0.502426,0.402129,0.897952,2.917318,-0.737553
18606.248000,1.114053,-1.518674,1.807999,-2.328634,-1.494106,0.164003,-0.124263,-0.517635,0.370802,0.897601,2.917348,-0.737482,0.007312,0.430985,0.140564,-0.557338,0.003979,0.032381,1.114108,-1.518355,1.808034,-2.329023,-1.494261,0.164247,-0.124289,-0.517723,0.370665,0.897948,2.917320,-0.737521
18606.408000,1.115382,-1.447059,1.824667,-2.417033,-1.495184,0.165406,-0.131894,-0.534805,0.335457,0.897402,2.917366,-0.737504,0.006622,0.466535,0.072762,-0.541855,0.026773,-0.026749,1.115392,-1.446746,1.824580,-2.417256,-1.495377,0.165717,-0.131947,-0.534889,0.335357,0.897944,2.917322,-0.737485
18606.568000,1.116568,-1.370451,1.831277,-2.500210,-1.496106,0.166725,-0.139487,-0.551856,0.300422,0.897306,2.917265,-0.737297,0.003055,0.464847,0.012425,-0.473185,0.011313,-0.018336,1.116571,-1.370383,1.831217,-2.500323,-1.496449,0.167036,-0.139524,-0.551872,0.300424,0.897939,2.917324,-0.737449
18606.728000,1.117322,-1.308858,1.829792,-2.560573,-1.497232,0.167672,-0.145370,-0.564844,0.273688,0.897664,2.917466,-0.737607,0.007325,0.312216,-0.022524,-0.294788,-0.052347,-0.032405,1.117419,-1.308810,1.829723,-2.560447,-1.497241,0.167960,-0.145325,-0.564876,0.273677,0.897936,2.917325,-0.737422
18606.888000,1.117825,-1.272237,1.826344,-2.593829,-1.497591,0.168343,-0.148698,-0.572367,0.258231,0.897784,2.917278,-0.737669,0.001751,0.149180,-0.018114,-0.136213,0.031806,0.004674,1.117889,-1.272217,1.826262,-2.593603,-1.497686,0.168461,-0.148676,-0.572387,0.258228,0.897934,2.917326,-0.737406
18607.208000,1.117969,-1.262049,1.825146,-2.602475,-1.497915,0.168607,-0.149613,-0.574403,0.253906,0.898111,2.917434,-0.737121,0.000153,0.000000,-0.000205,0.000575,-0.000431,-0.000431,1.118015,-1.262034,1.824978,-2.602507,-1.497807,0.168595,-0.149598,-0.574453,0.253978,0.897933,2.917327,-0.737402
18607.368000,1.117957,-1.261977,1.825062,-2.602463,-1.497759,0.168631,-0.149622,-0.574435,0.253902,0.898064,2.917285,-0.737115,0.000115,0.000000,-0.002084,0.000216,0.007454,-0.000192,1.118015,-1.262034,1.824978,-2.602507,-1.497807,0.168595,-0.149598,-0.574453,0.253978,0.897933,2.917327,-0.737402
