timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19051.872000,1.026510,-1.045057,1.648903,-2.736821,-1.235717,-0.634953,-0.222116,-0.633718,0.218402,0.286973,-2.929428,0.979269,0.000000,0.000000,-0.000000,-0.000024,0.000000,0.000000,1.026543,-1.044996,1.648928,-2.736737,-1.235672,-0.634938,-0.222092,-0.633727,0.218341,0.286992,-2.929622,0.979149
19052.032000,1.026378,-1.045393,1.649359,-2.736629,-1.235609,-0.635097,-0.222112,-0.633559,0.218399,0.286979,-2.929695,0.979027,-0.007644,-0.027663,0.029133,0.021596,0.008077,-0.009036,1.026369,-1.045586,1.649395,-2.736565,-1.235578,-0.635093,-0.222097,-0.633528,0.218502,0.286992,-2.929622,0.979149
19052.192000,1.020534,-1.065513,1.665534,-2.730192,-1.232651,-0.640351,-0.222155,-0.626697,0.223649,0.286746,-2.930343,0.978033,-0.068249,-0.222517,0.168290,0.065769,0.035090,-0.062078,1.020241,-1.066230,1.665523,-2.730257,-1.232262,-0.640597,-0.222262,-0.626564,0.224137,0.286992,-2.929620,0.979149
19052.352000,1.005097,-1.115812,1.702556,-2.712928,-1.224067,-0.654301,-0.222578,-0.609825,0.237544,0.287021,-2.929862,0.978922,-0.127883,-0.406901,0.287903,0.160589,0.070419,-0.119171,1.004825,-1.116427,1.702745,-2.712679,-1.223953,-0.654504,-0.222661,-0.609650,0.237822,0.286992,-2.929615,0.979150
19052.512000,0.978965,-1.195861,1.755935,-2.678483,-1.209949,-0.678005,-0.223212,-0.582977,0.259420,0.287050,-2.929628,0.979423,-0.197372,-0.578848,0.364806,0.282684,0.106588,-0.184725,0.978709,-1.196281,1.756145,-2.678114,-1.209998,-0.678270,-0.223296,-0.582814,0.259534,0.286992,-2.929608,0.979151
19052.672000,0.945924,-1.288792,1.809196,-2.628136,-1.192696,-0.708532,-0.223917,-0.551845,0.284616,0.287122,-2.929361,0.979384,-0.218004,-0.585444,0.305122,0.350658,0.116271,-0.198555,0.945626,-1.289064,1.809239,-2.627575,-1.192566,-0.708759,-0.224030,-0.551724,0.284689,0.286992,-2.929600,0.979152
19052.832000,0.914415,-1.369373,1.847574,-2.574569,-1.176280,-0.738053,-0.224547,-0.524830,0.306381,0.287174,-2.929788,0.979093,-0.170617,-0.404063,0.178197,0.290785,0.084033,-0.156250,0.914227,-1.369387,1.847400,-2.574515,-1.176304,-0.738108,-0.224666,-0.524812,0.306463,0.286992,-2.929592,0.979153
19053.152000,0.883708,-1.441100,1.875259,-2.519533,-1.160810,-0.767117,-0.225196,-0.500699,0.325994,0.287109,-2.929508,0.979143,-0.017436,-0.038771,0.011786,0.029098,0.022411,-0.016370,0.883729,-1.440845,1.875169,-2.519673,-1.160798,-0.767013,-0.225234,-0.500766,0.325918,0.286992,-2.929586,0.979153
19053.312000,0.883432,-1.441472,1.875391,-2.519184,-1.160762,-0.767201,-0.225255,-0.500546,0.326088,0.286812,-2.929557,0.979059,0.000294,0.000588,-0.000281,-0.000551,0.000671,0.000527,0.883444,-1.441485,1.875391,-2.519148,-1.160654,-0.767285,-0.225239,-0.500550,0.326093,0.286992,-2.929586,0.979153
19053.472000,0.883432,-1.441509,1.875391,-2.519233,-1.160750,-0.767261,-0.225249,-0.500540,0.326113,0.286923,-2.929450,0.979136,0.000128,0.000166,-0.000000,-0.000216,0.000240,-0.000647,0.883444,-1.441485,1.875391,-2.519148,-1.160654,-0.767285,-0.225239,-0.500550,0.326093,0.286992,-2.929586,0.979153
19053.632000,0.883444,-1.441472,1.875367,-2.519172,-1.160750,-0.767321,-0.225251,-0.500552,0.326098,0.287010,-2.929499,0.979069,0.000077,0.000089,-0.000000,-0.000144,0.000000,-0.000360,0.883444,-1.441485,1.875391,-2.519148,-1.160654,-0.767285,-0.225239,-0.500550,0.326093,0.286992,-2.929586,0.979153
19053.792000,0.883408,-1.441472,1.875391,-2.519208,-1.160738,-0.767333,-0.225266,-0.500542,0.326091,0.286982,-2.929481,0.979087,0.000051,0.000064,-0.000000,-0.000096,0.000000,-0.000264,0.883444,-1.441485,1.875391,-2.519148,-1.160654,-0.767285,-0.225239,-0.500550,0.326093,0.286992,-2.929586,0.979153
