timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19662.224000,1.216912,-1.479203,1.446575,-1.921461,-1.715736,0.536447,-0.098108,-0.549238,0.484701,-1.311526,-2.664378,0.595991,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.216984,-1.479191,1.446515,-1.921377,-1.715699,0.536447,-0.098067,-0.549249,0.484715,-1.311442,-2.664481,0.595948
19662.384000,1.216601,-1.478844,1.447030,-1.922410,-1.715640,0.536112,-0.098329,-0.549367,0.484383,-1.311455,-2.664364,0.596120,-0.014138,0.017411,0.019533,-0.046139,0.006256,-0.016179,1.216589,-1.478622,1.447050,-1.922536,-1.715556,0.536083,-0.098361,-0.549455,0.484265,-1.311442,-2.664481,0.595948
19662.544000,1.209703,-1.468460,1.456045,-1.942846,-1.713364,0.529878,-0.103549,-0.553052,0.476446,-1.311586,-2.664045,0.596245,-0.069758,0.110153,0.090390,-0.200880,0.034275,-0.066800,1.209625,-1.468264,1.456220,-1.943027,-1.713022,0.529669,-0.103593,-0.553127,0.476265,-1.311445,-2.664477,0.595950
19662.704000,1.194650,-1.443331,1.474555,-1.987942,-1.707568,0.515840,-0.115238,-0.561391,0.458217,-1.311376,-2.664582,0.595401,-0.119561,0.206167,0.133022,-0.352240,0.046283,-0.111669,1.194426,-1.443315,1.474531,-1.988328,-1.707483,0.515685,-0.115366,-0.561389,0.458265,-1.311451,-2.664470,0.595953
19662.864000,1.172315,-1.400674,1.496572,-2.055856,-1.699400,0.495257,-0.133444,-0.574115,0.430522,-1.311287,-2.664521,0.595974,-0.152669,0.317854,0.130580,-0.469830,0.052131,-0.141821,1.172130,-1.400451,1.496573,-2.056084,-1.699338,0.495209,-0.133578,-0.574171,0.430417,-1.311461,-2.664457,0.595958
19663.024000,1.148734,-1.346775,1.512400,-2.128168,-1.690766,0.473882,-0.154001,-0.588455,0.399157,-1.311649,-2.664448,0.595650,-0.140078,0.357533,0.070256,-0.437089,0.049687,-0.128375,1.148755,-1.346643,1.512274,-2.128393,-1.690778,0.473782,-0.154015,-0.588515,0.399168,-1.311472,-2.664444,0.595964
19663.184000,1.127094,-1.287665,1.518398,-2.196018,-1.682706,0.453825,-0.174348,-0.602812,0.368085,-1.311317,-2.664587,0.596121,-0.133584,0.383866,0.009894,-0.414199,0.049615,-0.122287,1.126985,-1.287397,1.518458,-2.196260,-1.682788,0.453852,-0.174453,-0.602859,0.367918,-1.311483,-2.664430,0.595969
19663.344000,1.106820,-1.223572,1.515321,-2.258916,-1.675352,0.435326,-0.194768,-0.617145,0.336699,-1.311390,-2.664522,0.595759,-0.124150,0.414124,-0.048947,-0.372278,0.045133,-0.113251,1.106685,-1.223345,1.515136,-2.259114,-1.675322,0.435284,-0.194891,-0.617203,0.336669,-1.311494,-2.664417,0.595975
19663.504000,1.087694,-1.155350,1.502403,-2.316227,-1.668394,0.418003,-0.215322,-0.631468,0.305515,-1.311613,-2.664290,0.595965,-0.113054,0.437185,-0.109616,-0.341838,0.039884,-0.104934,1.087734,-1.155104,1.502302,-2.316375,-1.668337,0.417956,-0.215328,-0.631547,0.305419,-1.311505,-2.664403,0.595980
19663.824000,1.060820,-1.043296,1.463971,-2.392103,-1.658419,0.393497,-0.246846,-0.653554,0.257342,-1.311754,-2.664318,0.595752,-0.045431,0.212341,-0.089137,-0.123461,0.012416,-0.045348,1.061015,-1.043481,1.464020,-2.392116,-1.658451,0.393518,-0.246701,-0.653565,0.257449,-1.311522,-2.664383,0.595989
19663.984000,1.056162,-1.021066,1.454034,-2.404964,-1.656802,0.389145,-0.252770,-0.657813,0.248168,-1.311597,-2.664193,0.595970,-0.013908,0.068543,-0.030143,-0.034970,0.011769,-0.019534,1.056191,-1.021236,1.454085,-2.404833,-1.656661,0.389105,-0.252720,-0.657789,0.248246,-1.311526,-2.664379,0.595991
