timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19929.944000,0.946582,-1.464360,1.909304,-2.664683,-1.255616,-0.423731,-0.194228,-0.502786,0.337387,-0.125955,-2.888006,1.066938,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.946558,-1.464360,1.909304,-2.664683,-1.255616,-0.423695,-0.194240,-0.502782,0.337387,-0.126042,-2.888006,1.066940
19930.104000,0.946905,-1.463185,1.908681,-2.665330,-1.255880,-0.423443,-0.194320,-0.503168,0.337145,-0.126004,-2.887961,1.066895,0.014036,0.058649,-0.023406,-0.011457,-0.010786,0.007191,0.947005,-1.462911,1.908586,-2.665528,-1.255893,-0.423319,-0.194320,-0.503257,0.337071,-0.126042,-2.888006,1.066940
19930.264000,0.954678,-1.437576,1.895736,-2.680126,-1.260598,-0.416931,-0.195720,-0.511573,0.331544,-0.125880,-2.887863,1.067154,0.078514,0.258118,-0.133801,-0.145201,-0.049854,0.066560,0.954811,-1.437205,1.895492,-2.680116,-1.260727,-0.416761,-0.195738,-0.511704,0.331459,-0.126038,-2.888006,1.066940
19930.424000,0.971468,-1.380330,1.864003,-2.709931,-1.271015,-0.402824,-0.198810,-0.530564,0.319050,-0.125927,-2.887741,1.067358,0.125326,0.456704,-0.265813,-0.222451,-0.079192,0.100787,0.971448,-1.379728,1.863761,-2.709949,-1.271067,-0.402857,-0.198928,-0.530710,0.318833,-0.126028,-2.888006,1.066940
19930.584000,0.994881,-1.292519,1.808908,-2.748209,-1.285791,-0.383621,-0.203781,-0.559942,0.299559,-0.125673,-2.887534,1.067300,0.157220,0.611266,-0.410110,-0.240763,-0.099134,0.126913,0.994916,-1.291851,1.808626,-2.748180,-1.285734,-0.383410,-0.203864,-0.560115,0.299299,-0.126014,-2.888006,1.066939
19930.744000,1.018282,-1.195298,1.738286,-2.780167,-1.300446,-0.364213,-0.209417,-0.592982,0.277718,-0.125882,-2.887434,1.067611,0.140270,0.603915,-0.468670,-0.161475,-0.085999,0.112748,1.018420,-1.194720,1.738225,-2.780087,-1.300499,-0.364121,-0.209402,-0.593112,0.277379,-0.125999,-2.888006,1.066939
19930.904000,1.039336,-1.099237,1.658961,-2.800964,-1.313738,-0.347193,-0.214938,-0.626033,0.255650,-0.125808,-2.887671,1.067241,0.123882,0.594673,-0.523356,-0.095634,-0.081876,0.100212,1.039389,-1.098894,1.658879,-2.800917,-1.313718,-0.347065,-0.214941,-0.626109,0.255459,-0.125983,-2.888006,1.066938
19931.064000,1.056437,-1.013541,1.579675,-2.810685,-1.324502,-0.333387,-0.219900,-0.655787,0.235858,-0.125791,-2.887740,1.067215,0.086913,0.439677,-0.432966,-0.025790,-0.050070,0.064259,1.056401,-1.013439,1.579735,-2.810573,-1.324459,-0.333332,-0.219921,-0.655782,0.235748,-0.125969,-2.888006,1.066938
19931.224000,1.066760,-0.957869,1.523798,-2.812159,-1.330968,-0.325075,-0.223124,-0.675178,0.222973,-0.125855,-2.888014,1.066949,0.046390,0.256635,-0.260968,-0.000791,-0.027156,0.037343,1.066663,-0.957864,1.524002,-2.812354,-1.330940,-0.325091,-0.223167,-0.675120,0.222901,-0.125959,-2.888006,1.066938
19931.544000,1.071299,-0.930945,1.495758,-2.812063,-1.333782,-0.321608,-0.224810,-0.684464,0.216719,-0.125539,-2.887854,1.067176,0.000281,0.000000,-0.000000,0.000455,-0.001941,0.000168,1.071417,-0.930940,1.495793,-2.811947,-1.333941,-0.321285,-0.224738,-0.684480,0.216684,-0.125955,-2.888006,1.066938
