timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19995.344000,1.120879,-1.005152,1.621629,-2.816174,-2.010248,0.736697,-0.222056,-0.634586,0.216615,-1.630650,-2.092283,0.940390,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.120884,-1.005068,1.621575,-2.816240,-2.010259,0.736762,-0.222064,-0.634608,0.216591,-1.630725,-2.092222,0.940458
19995.504000,1.120987,-1.005907,1.621904,-2.815083,-2.009721,0.736361,-0.221886,-0.634488,0.216852,-1.630214,-2.093383,0.939568,0.003758,-0.042006,0.015340,0.054145,0.016394,-0.016179,1.121030,-1.006314,1.621926,-2.814919,-2.009669,0.736397,-0.221832,-0.634448,0.217093,-1.630251,-2.093364,0.939899
19995.664000,1.123502,-1.027993,1.627592,-2.791327,-1.999192,0.729985,-0.217815,-0.631646,0.225876,-1.621965,-2.113471,0.929870,0.025899,-0.224997,0.055607,0.238270,0.102849,-0.065530,1.123630,-1.028330,1.627716,-2.791129,-1.999207,0.729903,-0.217702,-0.631605,0.226022,-1.621748,-2.113626,0.929904
19995.824000,1.129645,-1.076431,1.637756,-2.735814,-1.976037,0.715290,-0.208425,-0.625264,0.245896,-1.602051,-2.158777,0.906931,0.047579,-0.380581,0.064645,0.453915,0.184773,-0.114713,1.129603,-1.076825,1.637749,-2.735491,-1.975812,0.715243,-0.208411,-0.625209,0.246112,-1.602088,-2.158961,0.907042
19995.984000,1.139034,-1.148483,1.645156,-2.644564,-1.940162,0.692529,-0.194157,-0.615303,0.277147,-1.570510,-2.227896,0.871068,0.071177,-0.491845,0.017014,0.666682,0.249703,-0.163105,1.139195,-1.148635,1.645127,-2.644058,-1.940029,0.692423,-0.194037,-0.615314,0.277193,-1.570223,-2.228369,0.870651
19996.144000,1.150483,-1.223645,1.641851,-2.534992,-1.900503,0.666854,-0.177924,-0.604209,0.311976,-1.532688,-2.304926,0.828584,0.072813,-0.451783,-0.058496,0.697146,0.248553,-0.165167,1.150509,-1.223754,1.641691,-2.534585,-1.900503,0.666619,-0.177908,-0.604211,0.312072,-1.532353,-2.305132,0.828338
19996.304000,1.162483,-1.291944,1.626191,-2.419252,-1.861912,0.640640,-0.161784,-0.593116,0.346796,-1.492184,-2.380418,0.784356,0.075024,-0.406454,-0.136013,0.738276,0.241434,-0.164088,1.162456,-1.292099,1.625987,-2.418960,-1.861678,0.640616,-0.161778,-0.593107,0.346950,-1.492232,-2.380621,0.784463
19996.464000,1.174973,-1.352661,1.598365,-2.298732,-1.824004,0.614425,-0.145748,-0.581970,0.381760,-1.449896,-2.454159,0.739232,0.081058,-0.354899,-0.209529,0.770825,0.234939,-0.167276,1.175095,-1.352709,1.598164,-2.298297,-1.823587,0.614434,-0.145648,-0.582003,0.381829,-1.449843,-2.454742,0.739028
19996.624000,1.188434,-1.404774,1.558459,-2.174031,-1.786553,0.588042,-0.129568,-0.570883,0.416730,-1.405107,-2.526982,0.692549,0.085954,-0.297605,-0.285333,0.788970,0.235945,-0.129597,1.188484,-1.404759,1.558368,-2.173575,-1.786255,0.588099,-0.129518,-0.570899,0.416707,-1.405170,-2.527399,0.692036
19996.944000,1.211356,-1.468124,1.470902,-1.969596,-1.728754,0.546193,-0.103981,-0.553299,0.472029,-1.329772,-2.639118,0.614753,0.046492,-0.096181,-0.198689,0.397828,0.112604,-0.083961,1.211378,-1.468081,1.470985,-1.969506,-1.728715,0.546162,-0.103970,-0.553312,0.471951,-1.329704,-2.639241,0.614432
19997.104000,1.216374,-1.478148,1.449328,-1.926648,-1.717172,0.537538,-0.098697,-0.549651,0.483347,-1.313474,-2.661661,0.598038,0.015480,-0.030769,-0.069080,0.139041,0.034539,-0.023489,1.216335,-1.477985,1.449407,-1.926920,-1.717188,0.537563,-0.098745,-0.549715,0.483250,-1.313555,-2.661595,0.598082
