timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
1374.512000,0.914690,-1.167395,1.710483,-2.605388,-1.273697,-0.684625,-0.272947,-0.575808,0.252257,0.162256,-2.941052,0.848878,0.000000,0.000013,-0.000000,0.000000,0.000000,0.000000,0.914730,-1.167410,1.710465,-2.605414,-1.273610,-0.684597,-0.272919,-0.575824,0.252280,0.162319,-2.941056,0.849036
1374.672000,0.914570,-1.168294,1.710950,-2.604741,-1.273553,-0.684793,-0.272843,-0.575567,0.252529,0.162337,-2.941245,0.848785,-0.003630,-0.045674,0.020466,0.022626,0.000000,-0.004698,0.914509,-1.168698,1.711020,-2.604622,-1.273500,-0.684803,-0.272823,-0.575485,0.252735,0.162319,-2.941055,0.849036
1374.832000,0.910738,-1.191115,1.720469,-2.590483,-1.271937,-0.688284,-0.271079,-0.569576,0.260622,0.162118,-2.941060,0.848545,-0.043194,-0.231235,0.091604,0.150474,0.012943,-0.041226,0.910528,-1.191553,1.720551,-2.590229,-1.271516,-0.688509,-0.271108,-0.569457,0.260833,0.162320,-2.941053,0.849036
1374.992000,0.901265,-1.242379,1.739543,-2.556064,-1.266992,-0.697196,-0.267308,-0.555956,0.278992,0.162381,-2.940821,0.849125,-0.073810,-0.409215,0.140845,0.293566,0.037055,-0.070491,0.901262,-1.242640,1.739667,-2.555737,-1.266912,-0.697162,-0.267252,-0.555893,0.279054,0.162322,-2.941047,0.849037
1375.152000,0.886139,-1.320498,1.762868,-2.497319,-1.259436,-0.711327,-0.261229,-0.534946,0.307283,0.162367,-2.940622,0.849468,-0.110984,-0.541700,0.133022,0.443296,0.055343,-0.106779,0.886016,-1.320512,1.762837,-2.496785,-1.259384,-0.711476,-0.261285,-0.534908,0.307243,0.162324,-2.941038,0.849038
1375.312000,0.867396,-1.405722,1.779512,-2.423187,-1.250229,-0.729056,-0.254587,-0.511323,0.338939,0.162371,-2.940777,0.849377,-0.118398,-0.523727,0.073401,0.486368,0.054672,-0.115097,0.867449,-1.405601,1.779444,-2.422957,-1.250311,-0.729034,-0.254589,-0.511360,0.338875,0.162328,-2.941028,0.849039
1375.472000,0.847144,-1.487452,1.786026,-2.342073,-1.240494,-0.748405,-0.247878,-0.487807,0.370569,0.162460,-2.940593,0.849465,-0.133801,-0.495131,0.011134,0.526779,0.069532,-0.126050,0.847132,-1.487393,1.785979,-2.341633,-1.240518,-0.748400,-0.247894,-0.487812,0.370508,0.162331,-2.941018,0.849041
1375.632000,0.824976,-1.564933,1.782542,-2.253936,-1.229993,-0.769852,-0.241111,-0.464285,0.402095,0.162602,-2.940816,0.849170,-0.146367,-0.471546,-0.056770,0.573182,0.072529,-0.136932,0.824811,-1.564905,1.782337,-2.253556,-1.229936,-0.769852,-0.241198,-0.464263,0.402141,0.162334,-2.941008,0.849042
1375.792000,0.800209,-1.637036,1.768676,-2.159928,-1.218474,-0.793891,-0.234510,-0.440744,0.433666,0.162649,-2.940844,0.849133,-0.160659,-0.431317,-0.119114,0.601392,0.073224,-0.150714,0.800182,-1.637138,1.768459,-2.159497,-1.218487,-0.793727,-0.234502,-0.440715,0.433773,0.162337,-2.940998,0.849043
1376.112000,0.753405,-1.742351,1.723223,-1.993032,-1.197556,-0.839593,-0.223473,-0.401821,0.485942,0.162236,-2.940989,0.848863,-0.104758,-0.191211,-0.118526,0.347878,0.046451,-0.102058,0.753485,-1.742288,1.723143,-1.993083,-1.197461,-0.839549,-0.223455,-0.401863,0.485963,0.162342,-2.940982,0.849045
1376.272000,0.741800,-1.763135,1.709238,-1.954156,-1.192420,-0.851120,-0.220992,-0.393155,0.497620,0.162307,-2.940960,0.848946,-0.040638,-0.072084,-0.051964,0.138058,0.021644,-0.038901,0.741910,-1.762973,1.709276,-1.954401,-1.192390,-0.851016,-0.221001,-0.393230,0.497561,0.162343,-2.940978,0.849046
