timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
1601.616000,1.082042,-1.858040,1.709190,-1.947600,-1.604397,0.197026,-0.088770,-0.395359,0.530879,-0.992594,-2.754150,0.772161,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.082053,-1.858039,1.709190,-1.947589,-1.604313,0.196990,-0.088760,-0.395363,0.530877,-0.992522,-2.754254,0.772177
1601.776000,1.081682,-1.857668,1.709705,-1.948825,-1.604229,0.196762,-0.088998,-0.395520,0.530621,-0.992606,-2.753969,0.772624,-0.014496,0.020325,0.026282,-0.054193,0.004027,-0.009947,1.081624,-1.857470,1.709910,-1.948893,-1.604103,0.196626,-0.089057,-0.395604,0.530447,-0.992522,-2.754254,0.772177
1601.936000,1.074245,-1.847329,1.722169,-1.971961,-1.600792,0.190455,-0.094260,-0.399770,0.523013,-0.992614,-2.753723,0.772649,-0.075766,0.108836,0.124777,-0.233453,0.038853,-0.066608,1.074129,-1.847044,1.722393,-1.972053,-1.600428,0.190265,-0.094343,-0.399890,0.522795,-0.992524,-2.754251,0.772177
1602.096000,1.058114,-1.821711,1.748140,-2.023947,-1.592661,0.176821,-0.106204,-0.409443,0.505747,-0.992671,-2.753960,0.772666,-0.123076,0.212878,0.194943,-0.408470,0.061479,-0.106132,1.058140,-1.821483,1.748291,-2.023967,-1.592607,0.176709,-0.106236,-0.409532,0.505578,-0.992529,-2.754244,0.772176
1602.256000,1.035791,-1.776795,1.782278,-2.103477,-1.581715,0.157683,-0.124475,-0.424339,0.479132,-0.992308,-2.754077,0.772691,-0.152554,0.339815,0.214220,-0.554726,0.070204,-0.124924,1.035577,-1.776401,1.782336,-2.103555,-1.581619,0.157609,-0.124637,-0.424449,0.478942,-0.992536,-2.754234,0.772174
1602.416000,1.013061,-1.718510,1.811639,-2.191266,-1.570854,0.138581,-0.145232,-0.441124,0.449181,-0.992516,-2.753959,0.772482,-0.132677,0.389350,0.155149,-0.544084,0.063924,-0.110734,1.013008,-1.718286,1.811694,-2.191276,-1.570703,0.138526,-0.145285,-0.441188,0.449053,-0.992543,-2.754223,0.772172
1602.576000,0.992845,-1.653308,1.831481,-2.276688,-1.561106,0.121660,-0.165914,-0.457819,0.419382,-0.992691,-2.753753,0.772985,-0.116979,0.428108,0.094033,-0.528768,0.052802,-0.103759,0.992930,-1.652943,1.831523,-2.276491,-1.561069,0.121556,-0.165933,-0.457928,0.419163,-0.992551,-2.754212,0.772171
1602.736000,0.974965,-1.581576,1.841659,-2.358186,-1.552449,0.106527,-0.186534,-0.474594,0.389424,-0.992723,-2.754050,0.772636,-0.105410,0.463863,0.031076,-0.490922,0.049854,-0.089834,0.974981,-1.581276,1.841666,-2.358197,-1.552527,0.106379,-0.186582,-0.474668,0.389273,-0.992559,-2.754200,0.772169
1602.896000,0.958822,-1.504645,1.842042,-2.435495,-1.544988,0.092724,-0.207203,-0.491322,0.359575,-0.992503,-2.753809,0.772794,-0.095465,0.495821,-0.023968,-0.464485,0.046235,-0.080198,0.958862,-1.504305,1.842028,-2.435322,-1.544915,0.092731,-0.207230,-0.491408,0.359383,-0.992567,-2.754189,0.772167
1603.216000,0.931037,-1.339055,1.813687,-2.571534,-1.531983,0.069268,-0.248507,-0.524747,0.299656,-0.992871,-2.754081,0.772028,-0.074884,0.518447,-0.146406,-0.374627,0.034586,-0.066824,0.931176,-1.338869,1.813455,-2.571571,-1.531961,0.069209,-0.248485,-0.524853,0.299664,-0.992583,-2.754166,0.772164
1603.376000,0.921480,-1.269409,1.791223,-2.618532,-1.527384,0.060814,-0.265042,-0.538284,0.275614,-0.992396,-2.754239,0.772219,-0.047285,0.351870,-0.128049,-0.219958,0.020397,-0.039236,0.921459,-1.269359,1.791071,-2.618404,-1.527441,0.060919,-0.265081,-0.538308,0.275639,-0.992589,-2.754157,0.772162
