timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
2882.952000,1.064138,-1.380138,1.180205,-1.455087,-1.492729,-0.444446,-0.173073,-0.551630,0.510024,0.089057,3.110821,-0.168787,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.064186,-1.380126,1.180145,-1.455135,-1.492681,-0.444423,-0.173047,-0.551648,0.510052,0.089010,3.110811,-0.168954
2883.112000,1.064030,-1.380162,1.181319,-1.456373,-1.492729,-0.444566,-0.173174,-0.551689,0.509627,0.089018,3.110910,-0.169069,-0.005024,0.000000,0.054533,-0.052083,0.000000,-0.001798,1.064033,-1.380103,1.181553,-1.456555,-1.492669,-0.444567,-0.173187,-0.551726,0.509499,0.089010,3.110811,-0.168953
2883.272000,1.061383,-1.379479,1.205778,-1.481441,-1.492442,-0.446894,-0.175617,-0.553071,0.499873,0.089260,3.110858,-0.169267,-0.027279,0.013729,0.245105,-0.243352,0.009060,-0.013686,1.061328,-1.379349,1.206100,-1.481670,-1.492462,-0.447115,-0.175682,-0.553119,0.499665,0.089012,3.110812,-0.168947
2883.432000,1.055299,-1.375331,1.257617,-1.537176,-1.492083,-0.452735,-0.181316,-0.556252,0.477785,0.089099,3.111020,-0.169431,-0.046838,0.044537,0.397940,-0.439462,0.025910,-0.045492,1.055321,-1.375330,1.258141,-1.537314,-1.492020,-0.452774,-0.181297,-0.556255,0.477541,0.089016,3.110813,-0.168932
2883.592000,1.046282,-1.363115,1.330132,-1.621291,-1.491496,-0.461251,-0.189976,-0.561124,0.443557,0.089075,3.111060,-0.169402,-0.064900,0.112863,0.479855,-0.581355,-0.025910,-0.062534,1.046241,-1.363099,1.330634,-1.621403,-1.491397,-0.461330,-0.189983,-0.561106,0.443312,0.089023,3.110814,-0.168908
2883.752000,1.036414,-1.341285,1.401235,-1.713531,-1.490837,-0.470775,-0.199696,-0.566556,0.405051,0.088732,3.111046,-0.169415,-0.061538,0.162768,0.410110,-0.564026,-0.018504,-0.057764,1.036351,-1.341188,1.401389,-1.713370,-1.490781,-0.470656,-0.199730,-0.566549,0.404903,0.089030,3.110816,-0.168882
2883.912000,1.026701,-1.311220,1.461528,-1.803170,-1.490310,-0.479748,-0.209518,-0.571978,0.366668,0.089056,3.111036,-0.169335,-0.058521,0.209555,0.341502,-0.548854,-0.043071,-0.053833,1.026765,-1.311109,1.461740,-1.803116,-1.490248,-0.479703,-0.209477,-0.571993,0.366492,0.089038,3.110817,-0.168856
2884.072000,1.017479,-1.273472,1.511969,-1.890746,-1.489724,-0.488432,-0.219212,-0.577438,0.328291,0.089091,3.110939,-0.169480,-0.056412,0.258258,0.286254,-0.541304,-0.007622,-0.055535,1.017471,-1.273299,1.512170,-1.890683,-1.489791,-0.488488,-0.219224,-0.577436,0.328082,0.089045,3.110819,-0.168830
2884.232000,1.009719,-1.234851,1.547911,-1.964674,-1.489544,-0.495929,-0.227623,-0.582149,0.295003,0.088878,3.111069,-0.169252,-0.038874,0.213006,0.163906,-0.374028,0.004482,-0.039356,1.009671,-1.234766,1.547934,-1.964409,-1.489453,-0.495873,-0.227641,-0.582137,0.294914,0.089051,3.110820,-0.168808
2884.552000,1.002917,-1.196040,1.573880,-2.028592,-1.489149,-0.502202,-0.235126,-0.586336,0.265297,0.089173,3.110779,-0.168833,-0.001917,0.023010,0.009869,-0.030104,-0.040075,-0.043119,1.002898,-1.196132,1.573777,-2.028385,-1.489191,-0.502300,-0.235135,-0.586322,0.265381,0.089057,3.110821,-0.168787
