timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
2995.728000,1.238170,-1.058635,1.510113,-2.270004,-2.024813,1.078136,-0.148618,-0.658601,0.239850,-1.838230,-2.049772,0.555863,0.000000,0.000000,-0.000000,0.001822,0.000000,0.000000,1.238188,-1.058516,1.510145,-2.269919,-2.024802,1.078207,-0.148607,-0.658611,0.239746,-1.838223,-2.049773,0.555570
2995.888000,1.238445,-1.058827,1.509933,-2.269236,-2.024910,1.078532,-0.148435,-0.658614,0.239981,-1.838241,-2.049696,0.555547,0.016938,-0.016593,-0.007772,0.050525,-0.000096,0.018504,1.238528,-1.058956,1.509883,-2.269056,-2.024881,1.078571,-0.148373,-0.658610,0.240070,-1.838223,-2.049773,0.555569
2996.048000,1.246648,-1.068774,1.503756,-2.248619,-2.026263,1.087182,-0.142756,-0.658625,0.247298,-1.838194,-2.050358,0.554538,0.085046,-0.109910,-0.073017,0.218664,-0.041465,0.091392,1.246701,-1.069326,1.503303,-2.248218,-2.026782,1.087323,-0.142753,-0.658607,0.247853,-1.838222,-2.049772,0.555566
2996.208000,1.265618,-1.091914,1.485881,-2.199127,-2.031079,1.107863,-0.129828,-0.658577,0.265890,-1.838472,-2.049572,0.555623,0.154267,-0.177060,-0.153117,0.395935,-0.035521,0.164543,1.265902,-1.092055,1.485719,-2.198687,-2.031130,1.107938,-0.129641,-0.658598,0.266014,-1.838220,-2.049771,0.555557
2996.368000,1.296096,-1.123194,1.452094,-2.119501,-2.037727,1.140655,-0.109255,-0.658581,0.294342,-1.838438,-2.049547,0.556021,0.219704,-0.205962,-0.271042,0.588737,-0.043287,0.238174,1.296329,-1.123335,1.451826,-2.118669,-2.037681,1.140764,-0.109092,-0.658585,0.294472,-1.838217,-2.049769,0.555543
2996.528000,1.331210,-1.152102,1.403965,-2.024871,-2.044771,1.178887,-0.085833,-0.658532,0.326790,-1.838529,-2.049459,0.555882,0.221916,-0.154267,-0.331493,0.600985,-0.041681,0.243855,1.331448,-1.152113,1.403596,-2.024185,-2.044720,1.178882,-0.085677,-0.658570,0.326901,-1.838213,-2.049767,0.555528
2996.688000,1.366765,-1.173088,1.345277,-1.927056,-2.051263,1.217656,-0.062386,-0.658514,0.359166,-1.838454,-2.049563,0.555700,0.222645,-0.106356,-0.402325,0.620112,-0.040243,0.245964,1.366964,-1.173073,1.344774,-1.926379,-2.051258,1.217668,-0.062261,-0.658554,0.359331,-1.838209,-2.049765,0.555513
2996.848000,1.401831,-1.185637,1.276628,-1.828112,-2.057193,1.256172,-0.039470,-0.658501,0.391103,-1.838593,-2.049510,0.556170,0.198216,-0.046838,-0.416297,0.563930,-0.026533,0.215261,1.401923,-1.185468,1.276564,-1.827713,-2.057117,1.256063,-0.039410,-0.658540,0.390979,-1.838205,-2.049763,0.555497
2997.168000,1.442106,-1.189137,1.184611,-1.710829,-2.063003,1.300401,-0.013298,-0.658504,0.427013,-1.838161,-2.049890,0.555207,0.052743,0.000064,-0.133801,0.164400,-0.019798,0.057141,1.441996,-1.189114,1.184607,-1.711058,-2.063117,1.300314,-0.013382,-0.658523,0.427028,-1.838200,-2.049760,0.555480
2997.328000,1.445101,-1.189005,1.176662,-1.701882,-2.063495,1.303552,-0.011363,-0.658498,0.429959,-1.838152,-2.049967,0.555763,-0.000511,0.000486,-0.000000,0.000000,0.002996,-0.002349,1.445136,-1.188897,1.176722,-1.701725,-2.063554,1.303791,-0.011347,-0.658521,0.429845,-1.838200,-2.049760,0.555479
2997.488000,1.445125,-1.188981,1.176685,-1.701906,-2.063530,1.303635,-0.011351,-0.658506,0.429935,-1.838192,-2.049896,0.555784,-0.000179,0.000153,-0.000000,0.000000,0.000336,0.001654,1.445136,-1.188897,1.176722,-1.701725,-2.063554,1.303791,-0.011347,-0.658521,0.429845,-1.838200,-2.049760,0.555479
