timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3123.040000,0.696228,-1.705318,1.795689,-1.959534,-1.084743,-1.104332,-0.246369,-0.399648,0.432498,-0.460258,2.967723,-0.861470,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.696240,-1.705354,1.795713,-1.959487,-1.084719,-1.104248,-0.246350,-0.399642,0.432497,-0.460132,2.967675,-0.861451
3123.200000,0.696456,-1.705127,1.795941,-1.960111,-1.084863,-1.104068,-0.246338,-0.399744,0.432346,-0.460238,2.967778,-0.861433,0.017717,0.015762,0.022741,-0.047314,-0.013638,0.006711,0.696538,-1.705077,1.796062,-1.960263,-1.084810,-1.103922,-0.246313,-0.399776,0.432282,-0.460133,2.967675,-0.861451
3123.360000,0.706732,-1.695293,1.807747,-1.986753,-1.087664,-1.092746,-0.245001,-0.404390,0.424906,-0.460045,2.967386,-0.861620,0.111469,0.110792,0.127538,-0.281198,-0.034491,0.120801,0.706895,-1.695115,1.808004,-1.987370,-1.087976,-1.092614,-0.245000,-0.404456,0.424755,-0.460137,2.967677,-0.861452
3123.520000,0.731356,-1.668970,1.834618,-2.051966,-1.095734,-1.065830,-0.241850,-0.415754,0.406568,-0.459681,2.967610,-0.861103,0.192860,0.222696,0.206883,-0.514483,-0.066033,0.208645,0.731525,-1.668848,1.834845,-2.052655,-1.095728,-1.065874,-0.241811,-0.415824,0.406477,-0.460149,2.967681,-0.861454
3123.680000,0.768843,-1.621711,1.870985,-2.153638,-1.108067,-1.025539,-0.236774,-0.433714,0.377618,-0.459720,2.967602,-0.861209,0.268843,0.369574,0.238726,-0.734321,-0.089115,0.288652,0.769110,-1.621338,1.871102,-2.154455,-1.108148,-1.025489,-0.236750,-0.433859,0.377475,-0.460167,2.967688,-0.861456
3123.840000,0.810209,-1.558254,1.903257,-2.268444,-1.122591,-0.981674,-0.230913,-0.454629,0.343975,-0.459715,2.967681,-0.861161,0.252276,0.424734,0.169748,-0.701964,-0.088707,0.265355,0.810422,-1.557922,1.903280,-2.269083,-1.122597,-0.981702,-0.230888,-0.454754,0.343875,-0.460188,2.967696,-0.861459
3124.000000,0.849336,-1.486792,1.924812,-2.378702,-1.136911,-0.940939,-0.224999,-0.475552,0.310362,-0.459960,2.967606,-0.861244,0.238163,0.467621,0.098162,-0.675623,-0.092686,0.245533,0.849432,-1.486454,1.924758,-2.379224,-1.136970,-0.940953,-0.225026,-0.475650,0.310274,-0.460209,2.967704,-0.861463
3124.320000,0.912367,-1.345828,1.936344,-2.557180,-1.161564,-0.876262,-0.214798,-0.512161,0.251466,-0.459804,2.967613,-0.860994,0.125697,0.319183,-0.008322,-0.359814,-0.053306,0.128327,0.912353,-1.346031,1.936332,-2.557322,-1.161543,-0.876474,-0.214788,-0.512139,0.251598,-0.460246,2.967718,-0.861468
3124.480000,0.927145,-1.308379,1.934128,-2.598493,-1.167539,-0.861484,-0.212215,-0.521278,0.236840,-0.460124,2.967673,-0.861330,0.059467,0.151545,-0.011863,-0.165238,-0.016155,0.063277,0.927123,-1.308477,1.934073,-2.598447,-1.167542,-0.861564,-0.212226,-0.521272,0.236912,-0.460255,2.967722,-0.861470
3124.640000,0.931085,-1.298070,1.933290,-2.609466,-1.169072,-0.857765,-0.211496,-0.523731,0.232818,-0.460501,2.967587,-0.861372,-0.003132,-0.002582,-0.000716,0.005177,0.014381,-0.007191,0.931111,-1.298040,1.933095,-2.609462,-1.169176,-0.857554,-0.211523,-0.523778,0.232883,-0.460258,2.967723,-0.861470
3124.800000,0.931097,-1.298070,1.933230,-2.609501,-1.169095,-0.857765,-0.211501,-0.523746,0.232847,-0.460549,2.967633,-0.861470,0.000000,-0.000307,-0.000192,0.000360,0.000407,-0.000312,0.931111,-1.298040,1.933095,-2.609462,-1.169176,-0.857554,-0.211523,-0.523778,0.232883,-0.460258,2.967723,-0.861470
