timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3440.456000,0.925900,-1.851539,2.390310,-3.287567,-1.374865,-0.077977,-0.096596,-0.339331,0.352601,-0.514222,-2.368091,1.594175,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.925893,-1.851493,2.390318,-3.287496,-1.374916,-0.077916,-0.096611,-0.339340,0.352574,-0.514390,-2.368183,1.594043
3440.616000,0.926175,-1.849740,2.389831,-3.288897,-1.375189,-0.077893,-0.096806,-0.339720,0.352368,-0.514240,-2.368058,1.594115,0.015634,0.083691,-0.023035,-0.057165,-0.016179,0.004458,0.926229,-1.849413,2.389744,-3.289026,-1.375236,-0.077788,-0.096846,-0.339796,0.352312,-0.514389,-2.368183,1.594044
3440.776000,0.931852,-1.813231,2.379324,-3.314985,-1.380577,-0.076118,-0.100990,-0.347797,0.347681,-0.513833,-2.368339,1.593702,0.056745,0.367772,-0.112812,-0.258332,-0.055103,0.034754,0.931963,-1.812774,2.379122,-3.315434,-1.380727,-0.075607,-0.101036,-0.347902,0.347665,-0.514384,-2.368180,1.594048
3440.936000,0.943492,-1.732925,2.352514,-3.369132,-1.391665,-0.071237,-0.110419,-0.366091,0.337179,-0.514427,-2.368533,1.593861,0.084139,0.621863,-0.231235,-0.404108,-0.083218,0.033052,0.943498,-1.732698,2.352345,-3.369484,-1.391783,-0.071253,-0.110463,-0.366140,0.337208,-0.514371,-2.368172,1.594058
3441.096000,0.958343,-1.615319,2.303771,-3.438617,-1.405962,-0.065708,-0.125056,-0.394369,0.320938,-0.514520,-2.368748,1.593566,0.093688,0.798501,-0.368910,-0.440468,-0.088492,0.032381,0.958355,-1.615335,2.303686,-3.439081,-1.406033,-0.065707,-0.125048,-0.394356,0.321031,-0.514350,-2.368161,1.594074
3441.256000,0.971863,-1.492727,2.240107,-3.498316,-1.418954,-0.060695,-0.141360,-0.425981,0.302722,-0.514525,-2.368689,1.593589,0.074424,0.738778,-0.427405,-0.318924,-0.073871,0.025047,0.971804,-1.492733,2.239783,-3.498521,-1.418925,-0.060740,-0.141414,-0.426019,0.302877,-0.514328,-2.368149,1.594092
3441.416000,0.982785,-1.378712,2.167617,-3.540344,-1.429360,-0.056714,-0.157734,-0.457640,0.284527,-0.514453,-2.368755,1.593564,0.060273,0.687377,-0.478998,-0.208406,-0.061767,0.018504,0.982762,-1.378791,2.167248,-3.540489,-1.429405,-0.056717,-0.157781,-0.457683,0.284723,-0.514305,-2.368136,1.594110
3441.576000,0.991863,-1.272178,2.087264,-3.567185,-1.438077,-0.053500,-0.174121,-0.489307,0.266453,-0.514255,-2.368469,1.593706,0.052513,0.645589,-0.523318,-0.123414,-0.051652,0.014429,0.991863,-1.272199,2.087017,-3.567289,-1.438078,-0.053380,-0.174147,-0.489346,0.266569,-0.514282,-2.368124,1.594128
3441.736000,0.999576,-1.171722,1.999934,-3.581065,-1.445334,-0.050681,-0.190446,-0.520940,0.248428,-0.514042,-2.368106,1.594154,0.043527,0.611867,-0.563942,-0.045181,-0.042927,0.030584,0.999544,-1.171549,1.999689,-3.580964,-1.445359,-0.050558,-0.190513,-0.521009,0.248415,-0.514260,-2.368111,1.594145
3442.056000,1.008630,-1.035458,1.863153,-3.581149,-1.453908,-0.047491,-0.213881,-0.566206,0.222543,-0.513782,-2.367838,1.594275,0.015838,0.230813,-0.250179,0.008173,-0.027468,-0.021596,1.008635,-1.035518,1.863273,-3.580980,-1.453909,-0.047192,-0.213864,-0.566185,0.222514,-0.514227,-2.368094,1.594171
