timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3588.512000,0.673963,-1.564429,1.635422,-2.006623,-0.847899,-1.093717,-0.291080,-0.443474,0.461677,-0.476325,2.777987,-1.165443,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.673951,-1.564441,1.635398,-2.006670,-0.847816,-1.093681,-0.291079,-0.443472,0.461705,-0.476319,2.777936,-1.165596
3588.672000,0.674407,-1.563937,1.635434,-2.007619,-0.848043,-1.093057,-0.291051,-0.443727,0.461526,-0.476257,2.778008,-1.165561,0.029197,0.026768,-0.000000,-0.059202,-0.037151,0.039404,0.674578,-1.563824,1.635428,-2.007832,-0.848043,-1.092896,-0.291012,-0.443807,0.461496,-0.476319,2.777936,-1.165596
3588.832000,0.689294,-1.548878,1.635637,-2.034847,-0.853348,-1.074694,-0.289464,-0.451780,0.456531,-0.476460,2.777772,-1.165586,0.150049,0.156210,0.000946,-0.281869,-0.061239,0.186618,0.689460,-1.548829,1.635771,-2.035311,-0.853532,-1.074339,-0.289415,-0.451835,0.456481,-0.476319,2.777939,-1.165589
3588.992000,0.722865,-1.512571,1.633973,-2.095866,-0.866482,-1.033504,-0.285750,-0.470468,0.444702,-0.476287,2.777830,-1.165143,0.262975,0.299344,-0.030309,-0.473521,-0.103280,0.316647,0.723092,-1.512471,1.633839,-2.096448,-0.866556,-1.033068,-0.285689,-0.470568,0.444778,-0.476320,2.777944,-1.165572
3589.152000,0.772508,-1.452455,1.623341,-2.183357,-0.887136,-0.974274,-0.279904,-0.499761,0.426558,-0.476542,2.777929,-1.165604,0.343637,0.440176,-0.106714,-0.590103,-0.144410,0.399099,0.772805,-1.452130,1.623323,-2.183882,-0.887300,-0.973776,-0.279851,-0.499924,0.426441,-0.476321,2.777953,-1.165546
3589.312000,0.825084,-1.379455,1.600820,-2.270856,-0.910891,-0.913783,-0.273216,-0.533276,0.405502,-0.476354,2.777892,-1.165218,0.311245,0.468235,-0.177430,-0.507844,-0.148437,0.356195,0.825233,-1.379278,1.600606,-2.271221,-0.910972,-0.913480,-0.273198,-0.533375,0.405544,-0.476322,2.777962,-1.165517
3589.472000,0.873265,-1.303272,1.567127,-2.345468,-0.934191,-0.860392,-0.266589,-0.566691,0.384656,-0.476464,2.778014,-1.165324,0.286944,0.482130,-0.240528,-0.428340,-0.141558,0.311134,0.873439,-1.303066,1.566919,-2.345717,-0.934226,-0.860046,-0.266549,-0.566804,0.384662,-0.476324,2.777972,-1.165487
3589.792000,0.931265,-1.198438,1.506210,-2.425118,-0.963777,-0.798605,-0.257744,-0.610934,0.357068,-0.476554,2.777941,-1.165420,0.087028,0.172228,-0.114409,-0.107235,-0.045588,0.092638,0.931174,-1.198546,1.506220,-2.425041,-0.963774,-0.798523,-0.257781,-0.610886,0.357124,-0.476325,2.777985,-1.165448
3589.952000,0.938618,-1.183935,1.496500,-2.434259,-0.967573,-0.790868,-0.256559,-0.616926,0.353352,-0.476467,2.777841,-1.165496,0.005382,0.010239,-0.008450,-0.010786,0.006352,0.010043,0.938537,-1.184057,1.496569,-2.434191,-0.967665,-0.790866,-0.256591,-0.616870,0.353386,-0.476325,2.777987,-1.165443
3590.112000,0.938570,-1.184019,1.496549,-2.434163,-0.967633,-0.791024,-0.256575,-0.616889,0.353370,-0.476584,2.777940,-1.165432,-0.000281,-0.000256,0.000268,0.000431,0.000527,-0.000503,0.938559,-1.184012,1.496539,-2.434219,-0.967677,-0.790842,-0.256587,-0.616889,0.353374,-0.476325,2.777987,-1.165443
3590.272000,0.938582,-1.184007,1.496549,-2.434175,-0.967633,-0.790891,-0.256570,-0.616895,0.353363,-0.476408,2.777922,-1.165402,-0.000179,-0.000115,0.000115,0.000192,0.000216,0.001150,0.938559,-1.184012,1.496539,-2.434219,-0.967677,-0.790842,-0.256587,-0.616889,0.353374,-0.476325,2.777987,-1.165443
