timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3803.088000,1.003815,-1.353560,1.827840,-2.590303,-1.378206,-0.309662,-0.195672,-0.542840,0.304694,-0.290237,-2.939889,0.866501,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.003871,-1.353569,1.827859,-2.590343,-1.378202,-0.309583,-0.195639,-0.542847,0.304695,-0.290266,-2.939900,0.866558
3803.248000,1.003827,-1.354183,1.828008,-2.589752,-1.378242,-0.309518,-0.195573,-0.542690,0.304898,-0.290473,-2.939956,0.866373,0.000000,-0.038503,0.007670,0.026174,0.000000,0.009180,1.003961,-1.354435,1.828078,-2.589711,-1.378243,-0.309506,-0.195463,-0.542658,0.305001,-0.290266,-2.939900,0.866559
3803.408000,1.005983,-1.374828,1.832881,-2.574497,-1.379164,-0.308091,-0.191390,-0.538176,0.312265,-0.289791,-2.939833,0.866602,0.024531,-0.215563,0.050634,0.151960,-0.032381,0.037031,1.006149,-1.375135,1.833044,-2.574322,-1.379262,-0.307641,-0.191252,-0.538117,0.312336,-0.290266,-2.939901,0.866559
3803.568000,1.011348,-1.422386,1.842485,-2.537127,-1.381534,-0.303233,-0.181526,-0.527602,0.329227,-0.290236,-2.940165,0.866450,0.044358,-0.377909,0.065424,0.304447,-0.023082,0.039836,1.011457,-1.422841,1.842455,-2.536852,-1.381742,-0.303128,-0.181427,-0.527521,0.329452,-0.290264,-2.939905,0.866562
3803.728000,1.020366,-1.495413,1.851191,-2.474241,-1.385917,-0.295653,-0.166052,-0.510934,0.356137,-0.290179,-2.940015,0.866410,0.067712,-0.506751,0.036624,0.458445,-0.031782,0.056470,1.020392,-1.495572,1.851037,-2.474062,-1.385945,-0.295560,-0.166030,-0.510918,0.356273,-0.290260,-2.939911,0.866565
3803.888000,1.031659,-1.574369,1.851573,-2.397526,-1.391258,-0.286141,-0.148503,-0.492082,0.386758,-0.290100,-2.939894,0.866680,0.073631,-0.480980,-0.025502,0.493654,-0.037271,0.064020,1.031610,-1.574631,1.851600,-2.397217,-1.391281,-0.286101,-0.148484,-0.491998,0.386837,-0.290257,-2.939917,0.866569
3804.048000,1.043982,-1.648427,1.842521,-2.316191,-1.397329,-0.275526,-0.131023,-0.473102,0.417293,-0.290542,-2.939807,0.866651,0.084458,-0.441135,-0.085583,0.522344,-0.041250,0.067759,1.044107,-1.648593,1.842366,-2.315789,-1.397307,-0.275607,-0.130939,-0.473078,0.417401,-0.290253,-2.939924,0.866572
3804.368000,1.065383,-1.746213,1.811124,-2.190197,-1.407710,-0.257859,-0.105051,-0.445195,0.462513,-0.290065,-2.939650,0.867138,0.040727,-0.161362,-0.074449,0.232614,-0.032621,0.032549,1.065287,-1.746010,1.811204,-2.190046,-1.407709,-0.257888,-0.105128,-0.445245,0.462363,-0.290248,-2.939934,0.866578
3804.528000,1.069383,-1.761672,1.803604,-2.167321,-1.409590,-0.254608,-0.100566,-0.440313,0.470306,-0.289983,-2.940029,0.866693,0.010188,-0.036112,-0.016772,0.054384,-0.027180,-0.009971,1.069402,-1.761526,1.803611,-2.167465,-1.409756,-0.254452,-0.100598,-0.440361,0.470254,-0.290247,-2.939936,0.866579
3804.688000,1.069551,-1.762379,1.803293,-2.166169,-1.409686,-0.254452,-0.100366,-0.440080,0.470630,-0.290044,-2.940135,0.866491,0.000256,0.000767,0.000345,0.000000,0.000000,0.000791,1.069646,-1.762415,1.803149,-2.166145,-1.409878,-0.254248,-0.100334,-0.440076,0.470715,-0.290247,-2.939936,0.866579
