timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3868.368000,1.067395,-1.315919,1.739028,-2.625426,-1.292987,-1.261826,-0.166592,-0.579012,0.330979,1.121208,-2.456936,0.847077,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.067451,-1.315937,1.738971,-2.625432,-1.292946,-1.261865,-0.166559,-0.579028,0.331018,1.121330,-2.456809,0.847179
3868.528000,1.067215,-1.316950,1.739495,-2.624934,-1.292819,-1.262115,-0.166524,-0.578695,0.331302,1.121368,-2.456724,0.847174,-0.014253,-0.048845,0.015992,0.010115,0.037559,-0.016179,1.067149,-1.317229,1.739487,-2.624587,-1.292761,-1.262121,-0.166525,-0.578625,0.331428,1.121329,-2.456809,0.847180
3868.688000,1.061731,-1.339894,1.748164,-2.609382,-1.289766,-1.266528,-0.165972,-0.571550,0.338656,1.120956,-2.456895,0.846882,-0.054942,-0.233868,0.085686,0.149515,0.037990,-0.050334,1.061695,-1.340166,1.748313,-2.609239,-1.289432,-1.266733,-0.165921,-0.571472,0.338730,1.121323,-2.456803,0.847184
3868.848000,1.049012,-1.390988,1.765850,-2.572830,-1.281755,-1.277539,-0.164565,-0.555492,0.354938,1.121371,-2.456938,0.847021,-0.102981,-0.404677,0.128931,0.297257,0.063588,-0.087365,1.048897,-1.391425,1.765828,-2.572525,-1.281642,-1.277598,-0.164563,-0.555376,0.355160,1.121310,-2.456789,0.847193
3869.008000,1.027527,-1.469240,1.786529,-2.510381,-1.268788,-1.295817,-0.162503,-0.530532,0.380462,1.121157,-2.456658,0.847226,-0.159112,-0.545803,0.116710,0.460386,0.094004,-0.137315,1.027529,-1.469496,1.786460,-2.509909,-1.268715,-1.295873,-0.162461,-0.530474,0.380578,1.121290,-2.456768,0.847208
3869.168000,1.002702,-1.549441,1.799605,-2.437175,-1.253964,-1.317285,-0.160263,-0.504267,0.407350,1.121082,-2.456333,0.847317,-0.142417,-0.414494,0.047502,0.416811,0.082643,-0.120058,1.002702,-1.549476,1.799555,-2.436665,-1.253837,-1.317318,-0.160248,-0.504262,0.407333,1.121268,-2.456746,0.847223
3869.328000,0.984079,-1.602464,1.803365,-2.382577,-1.242793,-1.333560,-0.158769,-0.486328,0.425629,1.121238,-2.456621,0.847280,-0.089687,-0.247086,0.007759,0.255935,0.050430,-0.078617,0.984170,-1.602421,1.803338,-2.382515,-1.242840,-1.333475,-0.158737,-0.486354,0.425612,1.121253,-2.456731,0.847234
3869.488000,0.974199,-1.628522,1.803544,-2.354022,-1.237009,-1.342171,-0.158016,-0.477310,0.434894,1.121135,-2.456584,0.847288,-0.031792,-0.080802,0.000332,0.092183,0.016179,-0.028403,0.974360,-1.628313,1.803642,-2.354202,-1.237058,-1.342080,-0.157980,-0.477389,0.434764,1.121246,-2.456724,0.847239
3869.648000,0.973073,-1.631484,1.803604,-2.350675,-1.236519,-1.343070,-0.157923,-0.476267,0.435896,1.120971,-2.456779,0.847042,0.000000,0.001444,0.001214,-0.000959,0.001318,0.000911,0.973097,-1.631544,1.803604,-2.350579,-1.236315,-1.343190,-0.157885,-0.476259,0.435917,1.121245,-2.456723,0.847240
3869.968000,0.973109,-1.631532,1.803604,-2.350675,-1.236363,-1.343202,-0.157885,-0.476263,0.435922,1.121235,-2.456621,0.847225,0.000000,0.000000,-0.000000,-0.000144,0.000336,-0.000503,0.973097,-1.631544,1.803604,-2.350579,-1.236315,-1.343190,-0.157885,-0.476259,0.435917,1.121245,-2.456723,0.847240
3870.128000,0.973109,-1.631543,1.803640,-2.350639,-1.236387,-1.343214,-0.157883,-0.476257,0.435905,1.121249,-2.456673,0.847162,0.000000,-0.000550,-0.000000,-0.000096,0.000168,-0.000216,0.973097,-1.631544,1.803604,-2.350579,-1.236315,-1.343190,-0.157885,-0.476259,0.435917,1.121245,-2.456723,0.847240
