timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3025728.056000,-0.080935,-2.221148,2.447838,-2.047440,-1.613103,-3.198558,-0.313205,-0.067896,0.009896,2.090402,-2.144505,-0.331941,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3025728.152000,-0.080191,-2.221783,2.445298,-2.044175,-1.613330,-3.197972,-0.313182,-0.068037,0.010933,2.090587,-2.144452,-0.331954,0.021757,-0.026129,-0.074935,0.098726,-0.008461,0.018504
3025728.248000,-0.076322,-2.226270,2.432431,-2.026587,-1.614073,-3.194571,-0.312761,-0.068958,0.016392,2.090872,-2.144136,-0.331768,0.057959,-0.062970,-0.187389,0.248121,0.003811,0.055990
3025728.344000,-0.069312,-2.233552,2.408710,-1.995265,-1.615426,-3.187565,-0.311999,-0.070618,0.026397,2.090368,-2.144329,-0.331462,0.089661,-0.084420,-0.302718,0.391860,-0.029721,0.085328
3025728.440000,-0.058829,-2.241758,2.373622,-1.951646,-1.618132,-3.177506,-0.310945,-0.072842,0.041006,2.090207,-2.144489,-0.331945,0.124150,-0.080700,-0.424389,0.508778,-0.030871,0.119842
3025728.536000,-0.045229,-2.248764,2.326891,-1.897038,-1.621414,-3.164488,-0.309483,-0.075801,0.060007,2.090210,-2.144735,-0.331891,0.158869,-0.060567,-0.550853,0.624474,-0.035737,0.149132
3025728.632000,-0.029138,-2.252280,2.271262,-1.837058,-1.625258,-3.149267,-0.307887,-0.079294,0.082161,2.090282,-2.144654,-0.332045,0.155852,-0.014228,-0.549868,0.572870,-0.034610,0.153997
3025728.728000,-0.015851,-2.251896,2.224343,-1.789540,-1.628407,-3.136465,-0.306524,-0.082173,0.100406,2.090228,-2.144919,-0.331864,0.122591,0.016772,-0.432634,0.425344,-0.026078,0.116295
3025728.824000,-0.005835,-2.250240,2.188578,-1.755229,-1.630695,-3.126968,-0.305573,-0.084365,0.114230,2.090007,-2.144596,-0.332202,0.087846,0.023035,-0.312063,0.303656,-0.010786,0.082020
3025728.920000,0.001054,-2.248164,2.164491,-1.732627,-1.632132,-3.120573,-0.304855,-0.085919,0.123322,2.090246,-2.144401,-0.331859,0.052117,0.018293,-0.191121,0.173340,-0.030128,0.047122
3025729.016000,0.004361,-2.246905,2.152119,-1.721398,-1.632874,-3.117387,-0.304564,-0.086644,0.127996,2.090137,-2.144357,-0.331909,0.018114,0.007146,-0.064849,0.064619,-0.054432,0.022866
3025729.112000,0.004709,-2.246881,2.150753,-1.720280,-1.632994,-3.117196,-0.304566,-0.086705,0.128570,2.090156,-2.144103,-0.332207,-0.000435,0.000000,0.000984,-0.002061,-0.001894,-0.002397
3025729.208000,0.004733,-2.246869,2.150837,-1.720257,-1.633006,-3.117208,-0.304531,-0.086708,0.128514,2.090270,-2.144138,-0.332103,-0.000268,0.000000,0.000499,-0.000647,-0.000623,-0.000527
3025729.304000,0.004733,-2.246869,2.150837,-1.720317,-1.633126,-3.117160,-0.304551,-0.086664,0.128528,2.090211,-2.144215,-0.332293,-0.000153,0.000000,0.000230,0.000000,-0.001558,0.000072
3025729.400000,0.004673,-2.246869,2.150801,-1.720280,-1.633162,-3.117064,-0.304554,-0.086633,0.128543,2.090051,-2.144395,-0.332330,-0.000102,0.000038,0.000141,0.000000,-0.000455,0.001174
3025729.496000,0.004757,-2.246785,2.150849,-1.720257,-1.633186,-3.117076,-0.304529,-0.086650,0.128486,2.090250,-2.144389,-0.332199,-0.000077,0.000678,0.000102,0.000000,-0.000264,0.000455
