timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
2431015.088000,0.117051,-2.258482,2.127817,-1.561367,-1.566052,-3.033325,-0.242883,-0.138755,0.118199,2.164170,-2.142007,-0.118012,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
2431015.184000,0.117518,-2.258902,2.129961,-1.563001,-1.566148,-3.032714,-0.242740,-0.138826,0.117402,2.164084,-2.142221,-0.117964,0.013678,-0.016017,0.077952,-0.058171,-0.008077,0.028498
2431015.280000,0.121041,-2.261554,2.143686,-1.574207,-1.566375,-3.029672,-0.241964,-0.139571,0.112393,2.164495,-2.141492,-0.117867,0.055505,-0.041277,0.209529,-0.163321,0.018312,0.058076
2431015.376000,0.127905,-2.266509,2.169869,-1.595227,-1.567057,-3.022246,-0.240221,-0.140895,0.102741,2.164004,-2.142037,-0.117432,0.086350,-0.058918,0.330266,-0.271874,0.003475,0.089330
2431015.472000,0.137633,-2.272591,2.205790,-1.625243,-1.568147,-3.012330,-0.237917,-0.142724,0.089439,2.163733,-2.141945,-0.117439,0.096027,-0.053357,0.353365,-0.312788,0.000000,0.098319
2431015.568000,0.145240,-2.276430,2.233794,-1.649252,-1.569417,-3.004784,-0.236101,-0.143980,0.078901,2.164060,-2.142003,-0.117712,0.064606,-0.027203,0.225086,-0.200664,-0.008629,0.061934
2431015.664000,0.149649,-2.278158,2.249509,-1.663280,-1.569968,-3.000413,-0.235137,-0.144782,0.072948,2.164110,-2.141870,-0.117760,0.028634,-0.013461,0.101498,-0.091559,0.003811,0.027276
2431015.760000,0.150619,-2.278494,2.253222,-1.666643,-1.570327,-2.999539,-0.234937,-0.144872,0.071530,2.164310,-2.141867,-0.118053,-0.002148,-0.000754,-0.008347,0.009947,-0.010163,-0.006304
2431015.856000,0.150631,-2.278458,2.253234,-1.666571,-1.570315,-2.999503,-0.234905,-0.144875,0.071504,2.164350,-2.141957,-0.117929,-0.000371,-0.000345,-0.000409,0.000623,-0.000767,-0.000623
2431015.952000,0.150631,-2.278470,2.253294,-1.666559,-1.570315,-2.999539,-0.234881,-0.144871,0.071474,2.164426,-2.141955,-0.117878,0.000000,-0.000179,-0.000192,0.000312,-0.000360,-0.000312
2431016.048000,0.150631,-2.278470,2.253246,-1.666583,-1.570339,-2.999431,-0.234907,-0.144866,0.071503,2.164272,-2.142037,-0.117964,0.000000,0.000102,-0.000128,0.000216,-0.000216,0.000048
2431016.144000,0.150619,-2.278542,2.253270,-1.666595,-1.570351,-2.999323,-0.234907,-0.144858,0.071510,2.164110,-2.142134,-0.118025,0.000000,-0.000320,-0.000089,0.000144,-0.000168,0.000983
2431016.240000,0.150607,-2.278506,2.253246,-1.666559,-1.570363,-2.999335,-0.234904,-0.144851,0.071509,2.164143,-2.142168,-0.117999,0.000000,-0.000320,-0.000077,0.000120,-0.000120,0.000383
2431016.336000,0.150607,-2.278542,2.253258,-1.666607,-1.570387,-2.999359,-0.234918,-0.144844,0.071518,2.164134,-2.142111,-0.118094,0.000000,-0.000179,-0.000064,0.000096,-0.000096,0.000240
2431016.432000,0.150607,-2.278554,2.253222,-1.666607,-1.570375,-2.999287,-0.234930,-0.144850,0.071540,2.164023,-2.142154,-0.118116,0.000000,-0.000115,-0.000051,0.000072,-0.000096,0.000168
2431016.528000,0.150595,-2.278566,2.253246,-1.666571,-1.570375,-2.999323,-0.234912,-0.144844,0.071526,2.164078,-2.142157,-0.118077,0.000000,-0.000115,-0.000038,0.000072,-0.000072,0.000144
